Step,AgentID,Color,Transporting,Position
19,1132,red,[],"(21, 7)"
19,1133,red,[],"(21, 26)"
19,1134,red,[1118],"(32, 26)"
20,1120,green,[1097],"(6, 7)"
20,1121,green,[],"(1, 28)"
20,1122,green,[],"(9, 30)"
20,1123,green,[1095],"(3, 22)"
20,1124,green,[],"(3, 26)"
20,1125,yellow,[],"(10, 4)"
20,1126,yellow,[],"(10, 24)"
20,1127,yellow,[],"(10, 27)"
20,1128,yellow,[1109],"(10, 17)"
20,1129,yellow,[],"(10, 21)"
20,1130,red,[1111],"(32, 15)"
20,1131,red,[],"(21, 22)"
20,1132,red,[],"(21, 6)"
20,1133,red,[],"(21, 25)"
20,1134,red,[1118],"(32, 27)"
21,1120,green,[1097],"(6, 8)"
21,1121,green,[],"(2, 29)"
21,1122,green,[],"(10, 31)"
21,1123,green,[1095],"(4, 22)"
21,1124,green,[],"(2, 27)"
21,1125,yellow,[],"(10, 3)"
21,1126,yellow,[],"(10, 25)"
21,1127,yellow,[],"(10, 28)"
21,1128,yellow,[1109],"(10, 16)"
21,1129,yellow,[],"(10, 20)"
21,1130,red,[1111],"(32, 16)"
21,1131,red,[],"(21, 21)"
21,1132,red,[],"(21, 5)"
21,1133,red,[],"(21, 24)"
21,1134,red,[1118],"(32, 28)"
22,1120,green,[1097],"(6, 9)"
22,1121,green,[],"(3, 29)"
22,1122,green,[],"(9, 32)"
22,1123,green,[1095],"(5, 23)"
22,1124,green,[],"(1, 26)"
22,1125,yellow,[],"(10, 4)"
22,1126,yellow,[],"(10, 24)"
22,1127,yellow,[],"(10, 29)"
22,1128,yellow,[1109],"(10, 15)"
22,1129,yellow,[],"(10, 19)"
22,1130,red,[1111],"(32, 17)"
22,1131,red,[],"(21, 22)"
22,1132,red,[],"(21, 4)"
22,1133,red,[],"(21, 23)"
22,1134,red,[1118],"(32, 29)"
23,1120,green,[1097],"(6, 10)"
23,1121,green,[],"(4, 29)"
23,1122,green,[],"(8, 32)"
